NA	sentiment	tweet
1.05121E+17	negative	I forgot how sad the first episode of the 5th season of Dexter is. #depressing #dexter #darkpassenger
1.04319E+17	negative	Oct. 2 is almost too far away for me to wait for the return of #Dexter!
1.03642E+17	neutral	"(OFF TOPIC) - there is only 3 episodes on the first disk of #Dexter. Please hurry, @netflix with the 2nd #fitblog"
1.00545E+17	neutral	"@iheardavoicesay is finally catching up to me with #Dexter. I'm only up to season 4, but he has almost finished season 2 today @ home, ill."
1.0222E+17	neutral	"I downloaded the first season of #Dexter, gonna start watching the 2nd episode. Time to tweet #twittwit ^^"
1.01769E+17	neutral	Let's see if I can wrap up season three of #Dexter tonight: only 1 more episode to go till the season finale. Roll on series four please!
1.00396E+17	neutral	RT @ReignOfSuccess: 1st rule of the code: Don't get caught  #Dexter
1.03278E+17	positive	"#3words \""""Tonight's the night\"""" #dexter @SHO_Dexter"
1.06223E+17	positive	"#ICanHonestlySay #Dexter is such a good show, I may order Showtime just because of it."
1.04654E+17	positive	@dazzlindez @hotspur18 Don't feel obliged to discuss #Dexter tonight. Living it large in Brighton so please use direct messages....
1.02977E+17	positive	"@hughhefner Make sure you & the girls watch seasons 1-5 of #Dexter, before season 6 premieres Oct 2.  Seasons 1 & 4 are the best!"
1.05076E+17	positive	Addicted to #Dexter... what's new. Almost done with season 5 and I just got it on Thursday!
1.03749E+17	positive	Barely going to sleep after watching #dexter all evening! I love this show!
1.03535E+17	positive	"Beer and chicken night! Watching #Dexter till the working hours (11.59pm - 8 am) Maybe we should reserve the nickname \""""dexter\""""? Might be fun"
1.00018E+17	positive	Enjoying a night of #Dexter with @DomoniqueP07 :)
1.07552E+17	positive	"Finally starting the 5th season of #Dexter.  See ya later, weekend!"
1.07642E+17	positive	Fuck everyone else #dexter is my friend tonight. Bring it season 4
1.03611E+17	positive	The complete 5th season of #Dexter is available on DVD today! Or you could just watch it On Demand.. http://ht.ly/64rcd
1.07355E+17	positive	"Yeah boiii #entourage tonight, so pissed that there's only 3 epsdes until it ends. Oh well on the up side #dexter season 6 starts soon...ish"
2.63485E+17	neutral	@roslyngjones I\u2019m going Tuesday to the house of blues to see A$AP Rocky
2.6316E+17	neutral	I have a real dilemma here\u002c so tomorrow is the A$AP Rocky concert in phoenix but I got called back to start working tomorrow at Bianchi\u2019s
2.64029E+17	neutral	Whoever\u2019s going to A$AP Rocky wit me on the 8th better buy their tickets like today. I think imma get mine soon
2.6315E+17	neutral	"\""""@Rican_Amor: Who wants to go to a A$AP Rocky concert with me on the 14th or 15th ?!?!?\"""" you don\u2019t have a choice on who you taking we going!"
2.6334E+17	positive	@KalebZian I see you\u2019re in Dallas & a fan of A$AP Rocky\u002c email us (att@m80.com) for a great oppo to attend show at HOB on Fri!
2.64107E+17	positive	@funfunfunfest is coming up this weekend!! We\u2019re super excited! Playing the Blue Stage on Sat night right before A$AP Rocky!
2.63048E+17	positive	AHHH! My mom said yes for me to go the A$AP Rocky concert!! Nov 8th we out! #EXCITED
2.6315E+17	positive	It looks like my brother is going to see A$AP Rocky tomorrow sigh his life needs to stop being significantly better than mine
2.6307E+17	positive	May I ask what\u2019s so cool about A$ap Rocky?
2.64082E+17	positive	Oooh yha and the DMC and A$AP ROCKY one is 2-4th
1.0571E+17	negative	Merril Hoge is stupid. I'm sick of hearing what Tebow can't do. He may not be a #1 right now but it took Aaron Rodgers 3 yrs to start
1.02554E+17	negative	RT @MNVikingsGuy: Is it possible for Aaron Rodgers to suffer a career ending injury tonight? Just curious.
1.00047E+17	neutral	"Aaron Rodgers jersey battery room, under the windmill. Wagnoli - 4 August 2011 - Blog - designer wedding dresses sale,"
1.00001E+17	neutral	"And on the very first play of the night, Aaron Rodgers is INT'd by UDFA CB Brandian Ross, who returns it for a pick-six touchdown."
1.04742E+17	neutral	Da way aaron rodgers lookin greenbay may take it again
1.00756E+17	neutral	"RT @Jim_Alexander: For those just tuning in, #Chargers have linked those two games as pkg. To see Aaron Rodgers Nov 6, you gotta buy tix ..."
1.00727E+17	neutral	"finished qbs. if the draft were today and i got to pick first every time, i'd take Arian Foster, Roddy White, Jason Witten, n Aaron Rodgers"
1.0626E+17	positive	@olbagofdonuts Sensationalism at its finest. Next thing you know we'll be hearing that Graham Harrell may take Aaron Rodgers' spot. SMH.
1.02949E+17	positive	Aaron Rodgers may be the best QB in the NFL and he is still improving -yahoo sports! Nigga fuck with my teamm
1.01076E+17	positive	"Aaron Rodgers totally did the A.I. \""""practice?\"""" routine for the media today. It must be good to be a champion #Packers"
1.01135E+17	positive	"All you need is Ryan Leaf and you got a show. RT @jimrome: Aaron Rodgers, Kurt Warner and Kyle Kendrick are all in The Jungle tomorrow."
1.02525E+17	positive	Browns force Aaron Rodgers and the Packers to go 3&Out on 1st possession. Browns are better than the Steelers at one thing at least.
1.02116E+17	positive	I saw a photo of Aaron Rodgers with some awesome scruff going on today. Did I mention he was at the White House today? IZ COOL.
1.06147E+17	positive	"So far I have drafted Aaron Rodgers at #9 overall, and then at #16 in the 2nd round, Matt Forte. Not bad."
1.04321E+17	positive	"The score may have been 38-26, but Aaron Rodgers kept right up statistically with Favre. Damn. #skolvikings"
1.02419E+17	positive	today is the day we have been waiting for all summer: the day we see aaron rodgers on the field again. so excited. #packers
2.62573E+17	neutral	Kainis! Bukas na pala first day ng Secret Love (Sungkyunkwan Scandal) sa ABS-CBN. Eh may pasok kami bukas. Diaje naman oh!
2.62489E+17	neutral	Mark the dates: Miss Earth 2012 coronation night Nov 24\u002c Sat\u002c LIVE on Starworld\u002c 8PM. Free-TV broadcast on Sun\u002c Nov 25\u002c 10AM on ABS-CBN.
