NA	sentiment	tweet
2.49298E+17	positive	"i'm done writing code for the week! Looks like we've developed a good a** game for the show Revenge on ABC Sunday, Premeres 09/30/12 9pm"
2.82031E+17	neutral	dec 21st 2012 will be know not as the end of the world but the Baby Boom! #2012shit
2.2088E+17	negative	"@MacMiller hate my life, because i can't see you at the roskilde festival on saturday, promise me to come back again, SOON."
2.24001E+17	positive	Checked out Our Lady Peace at Bluesfest tonight and spending the day at the beach for HOPE volleyball tomorrow. Gotta love summer weekends!
2.55713E+17	positive	Hello from the Foundation Trekkers! We're up in chilly Haltwhistle getting ready to trek Hadrian's wall tomorrow :-) http://t.co/MmRnhLAL
2.67404E+17	positive	Tomorrow we will be proud to play at the Remembrance Service at South Hetton church
2.6635E+17	negative	Impulsively bought Resident Evil: Operation Raccoon City. Probably won't play it till tomorrow though. Have so much editing to do with 06.
2.29523E+17	neutral	"Just arriving in madrid from Moscow Tomorrow going to HVar, Croatia"
2.43174E+17	positive	nataaashaAnn where you been? Don't forget about Stratford weekend in Grand Bend Aug 10 (it's free!) Yn4j
2.17973E+17	positive	"Cainer was given a Key to the City of SF. June 13th will also forever be known as """"Matt Cain Day."""" #SFGiants #PerfectCain"
2.53303E+17	positive	Knowing that @LukeBryanOnline is at Rum Runners right now makes it hard for me to control my excitement for tomorrow! #FarmTour
2.56667E+17	neutral	Just packing for a weekend in Liverpool and the small matter of a marathon on Sunday. First up though...Blackpool Illuminations!
2.23365E+17	negative	"Your plans of attending the Great Yorkshire Show may have been washed out because of the weather, so how about... http://t.co/fEsAtbk8"
2.12138E+17	neutral	"By the end of today I will have worked 14hrs, done my workout and attended part of Hot Jam. Hitting the ground running this Monday."
2.78353E+17	neutral	Check out this weeks the @SixersBBL Scoop column looking back on Sat Nights win over the Thunder! http://t.co/lRto77al #smashemsixers #BBL02
2.44043E+17	positive	"Three day weekend a head. Tonight Grand Bend forracing, Saturday Grand Bend with the inlaws more racing. Sunday first #Sting game for us."
2.48007E+17	positive	Have you been inspired by Ironman Wales? Why not give triathlon a go by taking part in the Fishguard Go Tri on Sunday. http://t.co/lDfNW2fG
2.71998E+17	neutral	"Everyone's out Black Friday shopping talking about what deals they got and I'm just over here like """"Hey I'm eating Thanksgiving leftovers!""""."
2.78528E+17	positive	I've found lyrics of Kiryu - Kaika!!! YES!!! but I've sat down to listen a song and write it already...))
2.39496E+17	neutral	"Jonathan Kozol is the leading author on educational advocacy and social equality. He will be on campus Wednesday,... http://t.co/nteU8d3w"
2.21522E+17	negative	@nurinqistinaa @hannahban4na That's the 1st.2nd: Nadia &amp; Mysa about Mysa break dgn Adam. 3rd: this bullshit thingy -.-
2.40117E+17	positive	"Thanks to all those who joined UYSA and the University of Utah in celebrating Youth Soccer Month last Saturday,... http://t.co/39jQBGV8"
2.8561E+17	positive	"@pkollar Well it was either that or watch you play Raccoon City, so.. I think I may have won?"
2.12369E+17	negative	"I wasn't around for Hot Jam, why is it even on a monday"
2.35091E+17	neutral	@Drake performing at the Kee on August 18th? Is this real life? Betches retreat ... #thisisourchance
2.54388E+17	positive	"Day 1 at the SoCal College Fair @ Pomona Fairplex--1st person to get to our booth &amp; say """"your story matters"""" wins something special! #doit"
2.57854E+17	neutral	"De La Soul's First Serve project with Live Band debuts this Thu 18th in Meeting House Square, ONRA supports on MPC http://t.co/DN2SfycQ!!!"
2.78965E+17	neutral	@keccles653 I just googled it haha Catelynn and Tyler met first and butch and April have been married but they got divorced
2.5182E+17	positive	"Mertesacker is first choice for me, Koscielny and Vermalen should fight for the other spot tomorrow. He just compliments the 2 brilliantly."
2.18234E+17	neutral	Anybody going to that 4th of July pool party in Knollwood?
2.71629E+17	neutral	"New Cher single coming on Monday to iTunes, """"Woman's World"""". This is the official streaming from Warners on YouTube: http://t.co/xYdN9cCF"
2.63604E+17	positive	"Team CK vs Demolition on November 17th at the American Legion Post 80, Main St. in Binghamton NY. Get your tickets now! http://t.co/BieEefZD"
2.69438E+17	positive	@GMA My daughter @jordynking17 will be 14 on December 17th! We r going to see Buddy @ The Kirby Center in WB on December 14th. So excited!
2.29096E+17	neutral	Tomorrow there will be a new Miss Teen USA. Make sure you follow the current @MissTeenUSA Danielle Doty's personal account @DanielleDoty
2.75764E+17	neutral	"#tunewiki """"How to See the Sun Rise"""" by Ben Sollee http://t.co/NGmKGoS1"
2.07098E+17	positive	Morning!!!! Soundset was popin and hot as a tity but time to waken bake easy the sun burn haaa
2.25911E+17	neutral	"@owenhants Hee hee! Do you know, that picture was taken after husband bought me tickets to see The Ladykillers for the 3rd time."
2.72217E+17	positive	"Teddy Bear Toss, a Brad Mills goal and more fun from Maverik Center in a tough loss Friday. See you tomorrow at 7! http://t.co/ytoBfqfW"
2.78723E+17	negative	@rhymesayers a close 2nd is playing nothing but RSE on my drive to Soundset from California. Then nothing but RSE on the way back.
1.974E+17	neutral	"Dr Joe will kick off his Australian Tour with a lecture at The Conscious Club in Sydney, Australia, Thursday, May 17! http://t.co/uaqUTMgO"
2.47287E+17	positive	Have a lovely Sunday and keep it MYSA
2.82529E+17	positive	"just only for true Liverpudlian, download this song on iTunes IDR15.000. keep it on 1st in xmas chart! #ipho http://t.co/a2y80z6l"
2.76303E+17	neutral	"SAVE THE DATE !! Next saturday, the 14th of december, Circoloco is back at Showcase - Paris Live Club with Dan... http://t.co/kNbJQH86"
2.50825E+17	neutral	"2013 marks the 100th birthday of the Chelsea Flower Show. If you're heading to the UK in May, why not combine a... http://t.co/Buxt5z6x"
2.64433E+17	negative	Having the NY Marathon on Sunday is like having a parade in Raccoon city right after the T-Virus went airborne.
2.78164E+17	neutral	"A New Work, Threshold, will be read by the African American Repertory Theatre of Virginia this friday at the... http://t.co/cdS0NASp"
2.67682E+17	positive	I went to a Remembrance service today for the 1st time and can say it was so touching.
2.59002E+17	positive	Sun got the best of me at Soundset #tbt http://t.co/1bG1vVQM
2.76782E+17	neutral	Check out what's happening at the San Diego County Fair (Del Mar Fairgrounds) this Saturday! http://t.co/Vqm9lMk4
2.26269E+17	positive	my 1st bias in t-ara still eunjung jiyeon okay still EunJi !! but plus Danee now muahahahah so it being EunJiNi ._. lol
2.72428E+17	positive	Transformers Prime is being syndicated to the CW Network for their Saturday morning cartoon programming block. Very interesting.
2.79266E+17	positive	@TBM1983 Oh let me know if you hear about what's on at Sankeys 11th and 12th of January?:) my 21st!! Could just celebrate it at Circoloco
2.7324E+17	neutral	@WaddleandSilvy Might be stopping be the studio on Friday. Have any of that Halloween candy left over?
2.81317E+17	neutral	@JulissaSlattery the Friday we got off of Thanksgiving break
2.69125E+17	positive	@centuryblu Thanks again for tix to last nights Passafire show! Bout my tix to the RNDM show for tomorrow night!
2.77968E+17	positive	I hope we watch the concert tomorrow.. I need to see Danee!!
2.11115E+17	neutral	Just got word we are stopping back in Pittsburgh before the tour heads to Ohio June 29th #PartyWithThePros
2.83629E+17	positive	Kiryu to Release 9th Single This Christmas Visual Kei band Kiryu surprise their fans with great news! The band... http://t.co/hJxgp7va
2.24187E+17	positive	"Tomorrow at Knollwood, Tyler Graham and Ashley Mayhall compete! Any body I'm missing, let me know! Zoe is on vacation..Enjoy the trip!"
2.74635E+17	positive	"Liverpudlian, David Price defeats Matt Skelton in the 2nd round to defend his British &amp; Commonweath heavyweight titles."
2.80802E+17	positive	Shouts out to big @EPetro10x It's his 16th birthday today! Trosk is the best baseball player since Kenny Lofton!
2.75212E+17	negative	Having to work a Sunday but a Sunday of the Edinburgh Derby #grim
2.21801E+17	positive	@train saw your concert at San Diego County Fair on June 30!!! I loved it!! You guys were amazing!!!!!
2.56501E+17	neutral	And you're all just going to have to accept the fact that I'll be slipping in and out of the Liverpudlian accent tomorrow ok OKAY
2.46693E+17	neutral	"Parkdale students, take a break from homework and head to the Polish Festival! Saturday and Sunday only!"
2.85825E+17	negative	Don't know why I'm being a melt and just go Circoloco tomorrow
2.29743E+17	positive	Congratulations to @Lizarddd33 for being the first one from WV to ever be a Miss Teen USA 1st runner up!!! Could not be more proud! Love you
2.418E+17	positive	"Gah, I still can't believe I got to meet @colinferg at Phoenix Comicon, back in may. Still excited about it!!!(: http://t.co/kF9OyjGu"
2.37891E+17	neutral	Feels like a Monday. (@ FM Kirby Center for the Performing Arts) http://t.co/6xntLO5i
2.49328E+17	negative	"Spent about 9 hours straight in the sun for Waterparks video shoot, going to spend the same amount tomorrow at Riot Fest. KILL ME."
2.65541E+17	positive	@Acti0nGirl if you love pinups and Burlesque check out The Burlesque Assassins film premiere in Baltimore on Nov 9 at Creative Alliance.
2.43988E+17	positive	Had my 1st Beef Bibimbap today at Westfield Parramatta. Never knew it would be so filling. 5 hours on and still not feeling an edge hungry.
2.55162E+17	neutral	"Watching jiujitsu matches all day long, getting ready for Sunday!"
2.74535E+17	positive	Omigod you guys I get to see HOLY MOTORS tomorrow.
2.43995E+17	negative	"Everyday I'm like """"shit is it the 17th yet!? Did I miss the Kiryu project!?"""" &gt;&lt;"
2.47841E+17	neutral	Anyone got peeps at #Harvard? Going to hear Jonathan Kozol speak tomorrow. Hoping they allow motorscooters at the bike racks?
2.09361E+17	negative	"lol, all the people on the facebook live chat on Rock im Park are real idiot's. i explain them that Evanscence have performed on friday..."
2.7458E+17	positive	"enjoying some @Nandos_USA for lunch today because it's Friday, and I'm finally finished with Thanksgiving leftovers :)"
2.43775E+17	positive	@PaigeGrahamx painting the Liverpudlian town red on Saturday night anyone? I know I am!!!
2.57262E+17	negative	"OMIGOD worst moment when you realise that its the last day of the holidays, school starts tomorrow and you STILL haven't done your homework!"
2.43453E+17	positive	"Funky mojos Saturday with the girls, Sunday my birthday, next sat Circoloco then Ibiza!!! Loving life #happydays"
2.22845E+17	positive	"MDSL Finals this Sunday, July 15 at 6pm. Come watch MYSA take on the Detroit Hustlers at Ultimate Soccer Arena!!(http://t.co/38cOcMVL)"
2.22538E+17	positive	"Gotta love it, and Snoop is playing tomorrow night at Bluesfest! http://t.co/FlrolMwO"
2.6008E+17	positive	@iroz08 We're at the Beverly Gardens Park for the art show. We're here til 5pm!! Art Museum to the Art Park - perfect Sunday!!
2.36434E+17	positive	@TheRickiLee @2pm ... see you on FHV at 6pm ..... And hope to see you at Westfield Parramatta on Sunday at 1pm :-)
2.55667E+17	neutral	Youth Soccer pictures are this Saturday (10/13)! Check out the youth soccer schedules on our website!
2.2217E+17	positive	@dorothykt I made a time-lapse video of the San Diego County Fair you may enjoy! http://t.co/xTa96pm5
2.29295E+17	neutral	We're in hostile territory with these WNY Flash fans. 2nd half of overtime about to begin...Red Stars kicking off.
2.67903E+17	positive	Veteran day ballin. ... Glad I dnt got no class tomorrow so I'm vibin
2.59178E+17	positive	@kieferravena: Leaving for Bacolod on the 20th! Having a Sun Cellular Event in BCD. See you guys there!!! - OMIGOD! SEE YOU TOM KIEF.
2.35861E+17	neutral	On 2nd thoughts let me watch the repeat show of Styled To Rock ! Why am I not in this episode u get to design for Kanye West cha :x
2.56212E+17	positive	"@BrentSpiner Big fan of your work! Star Trek, Threshold, Fresh Hell, Alphas, etc and may meet you in person at DSTL! Yay! You Rock!"
2.08664E+17	positive	Happy Bacon Fat Friday Ya'll. Copper river salmon rillettes tonight &amp; the Selena Gomez Dog. Gonna be a good Friday!
2.54722E+17	positive	@jesselalejo Yeah so much has changed for the 6th. Lots of combat fighting. And inventory is different. Did you do Raccoon City?
2.18889E+17	positive	@ChristianaBenne You and all of the dancers at Ballet West are amazing. I absolutely love to watch you all every Thursday. SO TALENTED!
2.61846E+17	negative	"RNDM has a beef with music videos Debut album """"Acts"""" out on Oct 30, 2012 https://t.co/aP2yNM2S"
2.71107E+17	positive	"@therobindiaz Watching on livestream tonight you guys put on a hell of a show as always, see you in Binghamton NY next Saturday Love u guys"
2.26798E+17	negative	"@VivaVHS Haha. I've got to cut down mate, not looking forward to going through the WARNERS. Might try and sort small set tomorrow VESTRON."
2.44419E+17	positive	"Excited for all of the Youth Soccer Teams today!!!! Go get a """"kick"""" out of this Saturday! #MYSL"
2.44088E+17	neutral	"Mitch Steele from Stone Brewing, our guest on today's WILK Friday Beer Buzz! Click for the video! http://t.co/aJty62jj"
2.35407E+17	positive	"If you participated in our Adult Summer Reading Club, we've got a great program on Saturday! Laughter Workshop: http://t.co/qcEQc5O1"
2.36806E+17	positive	@hwjhanna Love those Sun Mountain bags.Had fun at Lough Erne - roll on the Grove.
2.38836E+17	neutral	"In a year focused on the Summer Olympics, Winter Olympian @BodeMiller received a win of another kind on August 23 Read: http://t.co/6MwJqUPL"
